geometry,x,y
POINT (145.7399438 -17.0447253),145.73994,-17.04473
POINT (145.7397057 -17.0461658),145.73971,-17.04617
POINT (145.7414135 -17.0435804),145.74141,-17.04358
POINT (145.7391953 -17.0428),145.7392,-17.0428
POINT (145.9448194 -17.346564),145.94482,-17.34656
POINT (145.804613 -17.0508321),145.80461,-17.05083
POINT (145.8085789 -17.0596193),145.80858,-17.05962
POINT (145.9518827 -17.3078839),145.95188,-17.30788
POINT (145.7314466 -17.071314),145.73145,-17.07131
POINT (145.8227071 -16.9922769),145.82271,-16.99228
POINT (145.7997569 -17.0810176),145.79976,-17.08102
POINT (145.8176739 -17.0902112),145.81767,-17.09021
POINT (145.8257216 -17.0867699),145.82572,-17.08677
POINT (145.832182 -17.0873938),145.83218,-17.08739
POINT (145.8320722 -17.0942419),145.83207,-17.09424
POINT (145.745589 -17.0734838),145.74559,-17.07348
POINT (145.745206 -17.0737904),145.74521,-17.07379
POINT (145.7479244 -17.074932),145.74792,-17.07493
POINT (145.7463698 -17.0171107),145.74637,-17.01711
POINT (145.7526607 -17.0149688),145.75266,-17.01497
POINT (145.7485218 -17.0121899),145.74852,-17.01219
POINT (145.7513877 -17.0155993),145.75139,-17.0156
POINT (145.7462103 -17.0169875),145.74621,-17.01699
POINT (145.7462097 -17.016717),145.74621,-17.01672
POINT (145.7462639 -17.0136798),145.74626,-17.01368
POINT (145.7558839 -17.0122698),145.75588,-17.01227
POINT (145.9591304 -17.3392591),145.95913,-17.33926
POINT (145.7393919 -17.0544306),145.73939,-17.05443
POINT (145.732817 -17.0533402),145.73282,-17.05334
POINT (145.6973791 -17.1361358),145.69738,-17.13614
POINT (145.9724598 -17.3364372),145.97246,-17.33644
POINT (145.7675713 -17.0638864),145.76757,-17.06389
POINT (145.7853621 -17.0533014),145.78536,-17.0533
POINT (145.7589619 -17.1448498),145.75896,-17.14485
POINT (145.7582316 -17.1447493),145.75823,-17.14475
POINT (145.7579494 -17.1491611),145.75795,-17.14916
POINT (145.7562419 -17.1445588),145.75624,-17.14456
POINT (145.7556005 -17.1466147),145.7556,-17.14661
POINT (145.7585766 -17.1457685),145.75858,-17.14577
POINT (145.7572898 -17.1468895),145.75729,-17.14689
POINT (145.7623469 -17.0069777),145.76235,-17.00698
POINT (145.7597979 -17.0056745),145.7598,-17.00567
POINT (145.758864 -17.0053752),145.75886,-17.00538
POINT (145.7588579 -17.005292),145.75886,-17.00529
POINT (145.7596067 -17.005557),145.75961,-17.00556
POINT (145.7609548 -17.0074962),145.76095,-17.0075
POINT (145.7581389 -17.0250974),145.75814,-17.0251
POINT (145.7538626 -17.0314418),145.75386,-17.03144
POINT (145.7533268 -17.0291895),145.75333,-17.02919
POINT (145.7571022 -17.0250452),145.7571,-17.02505
POINT (145.7562096 -17.0273425),145.75621,-17.02734
POINT (145.7579098 -17.0250938),145.75791,-17.02509
POINT (145.7567931 -17.0279248),145.75679,-17.02792
POINT (145.7573382 -17.0201046),145.75734,-17.0201
POINT (145.7575545 -17.0198957),145.75755,-17.0199
POINT (145.7598323 -17.0136273),145.75983,-17.01363
POINT (145.7634443 -17.0581523),145.76344,-17.05815
POINT (145.7363347 -17.0683456),145.73633,-17.06835
POINT (145.7450002 -17.0493975),145.745,-17.0494
POINT (145.9095884 -17.3952763),145.90959,-17.39528
POINT (145.9452982 -17.3915527),145.9453,-17.39155
POINT (145.9236288 -17.3868013),145.92363,-17.3868
POINT (145.9594631 -17.3907338),145.95946,-17.39073
POINT (145.9507258 -17.3798488),145.95073,-17.37985
POINT (145.8782532 -17.7144908),145.87825,-17.71449
POINT (145.9311605 -17.4158975),145.93116,-17.4159
POINT (145.8714942 -17.4561529),145.87149,-17.45615
POINT (145.9427086 -17.4594084),145.94271,-17.45941
POINT (145.9148245 -17.4091518),145.91482,-17.40915
POINT (145.9325772 -17.6006092),145.93258,-17.60061
POINT (145.9597823 -17.601243),145.95978,-17.60124
POINT (145.9379384 -17.5417722),145.93794,-17.54177
POINT (145.9524717 -17.6931644),145.95247,-17.69316
POINT (145.9135475 -17.9714027),145.91355,-17.9714
POINT (145.965203 -17.9020658),145.9652,-17.90207
POINT (145.9393771 -17.7303645),145.93938,-17.73036
POINT (145.9561924 -18.1584798),145.95619,-18.15848
POINT (146.0498713 -17.5323245),146.04987,-17.53232
POINT (146.0475889 -17.5321088),146.04759,-17.53211
POINT (146.0477652 -17.5304856),146.04777,-17.53049
POINT (145.9984173 -17.5918403),145.99842,-17.59184
POINT (146.0571776 -17.6772789),146.05718,-17.67728
POINT (146.0575944 -17.6773218),146.05759,-17.67732
POINT (146.061657 -17.6844885),146.06166,-17.68449
POINT (146.0396156 -17.7223984),146.03962,-17.7224
POINT (146.0349684 -17.7324526),146.03497,-17.73245
POINT (146.0337078 -17.7351052),146.03371,-17.73511
POINT (146.0140964 -17.5867452),146.0141,-17.58675
POINT (146.0260385 -17.7344171),146.02604,-17.73442
POINT (146.0653442 -17.6027918),146.06534,-17.60279
POINT (146.0069426 -17.5678278),146.00694,-17.56783
POINT (145.9841922 -17.5907249),145.98419,-17.59072
POINT (146.0201546 -17.6042758),146.02015,-17.60428
POINT (146.0208324 -17.6341607),146.02083,-17.63416
POINT (146.0123578 -17.5729299),146.01236,-17.57293
