geometry,x,y
POINT (115.8294416 -33.3172143),115.82944,-33.31721
POINT (115.8483225 -33.3342095),115.84832,-33.33421
POINT (115.842058 -33.304792),115.84206,-33.30479
POINT (115.8831111 -33.3207669),115.88311,-33.32077
POINT (115.8701288 -33.3231596),115.87013,-33.32316
POINT (115.9259721 -33.3491562),115.92597,-33.34916
POINT (115.8992208 -33.3315383),115.89922,-33.33154
POINT (115.8714904 -33.3249724),115.87149,-33.32497
POINT (115.8719866 -33.3250508),115.87199,-33.32505
POINT (115.8716795 -33.327125),115.87168,-33.32713
POINT (115.7713092 -33.3284198),115.77131,-33.32842
POINT (115.7540346 -33.332972),115.75403,-33.33297
POINT (115.7540304 -33.354482),115.75403,-33.35448
POINT (115.7713409 -33.3544593),115.77134,-33.35446
POINT (115.7540343 -33.355226),115.75403,-33.35523
POINT (115.7920398 -33.343099),115.79204,-33.3431
POINT (115.7924384 -33.347611),115.79244,-33.34761
POINT (115.8004864 -33.3476177),115.80049,-33.34762
POINT (115.7916859 -33.3544305),115.79169,-33.35443
POINT (115.7453334 -33.3405294),115.74533,-33.34053
POINT (115.7826992 -33.273412),115.7827,-33.27341
POINT (115.7936007 -33.2735604),115.7936,-33.27356
POINT (115.7693124 -33.2734172),115.76931,-33.27342
POINT (115.8018151 -33.5789103),115.80182,-33.57891
POINT (115.7971457 -33.5725889),115.79715,-33.57259
POINT (115.8333066 -33.5384455),115.83331,-33.53845
POINT (115.8331542 -33.5489562),115.83315,-33.54896
POINT (115.830566 -33.5325435),115.83057,-33.53254
POINT (115.7784138 -33.4125379),115.77841,-33.41254
POINT (115.7777701 -33.4205403),115.77777,-33.42054
POINT (115.7851944 -33.4205403),115.78519,-33.42054
POINT (115.7788859 -33.4122656),115.77889,-33.41227
POINT (115.791503 -33.4124089),115.7915,-33.41241
POINT (115.7555711 -33.4125012),115.75557,-33.4125
POINT (115.7666514 -33.4350408),115.76665,-33.43504
POINT (115.7779258 -33.4258751),115.77793,-33.42588
POINT (115.7525459 -33.4356719),115.75255,-33.43567
POINT (115.7856639 -33.4262554),115.78566,-33.42626
POINT (115.7664683 -33.4565157),115.76647,-33.45652
POINT (115.7773736 -33.4566467),115.77737,-33.45665
POINT (115.8115565 -33.4596233),115.81156,-33.45962
POINT (115.7666381 -33.4357523),115.76664,-33.43575
POINT (115.7775091 -33.4403672),115.77751,-33.44037
POINT (115.8250523 -33.4640139),115.82505,-33.46401
POINT (115.7518083 -33.4377669),115.75181,-33.43777
