Node,weight,num_nodes,Betweenness,Degree,Closeness,Eigenvector,PageRank,Clustering
0,3.6231884057971016,1,0.001098901098901099,0.01904761904761905,0.1063028536597328,0.0003936563102339231,0.005964627593396979,0.0
1,6.666666666666667,1,0.0016483516483516484,0.028571428571428574,0.09839908945578123,0.00029171465108487383,0.009325951491546056,0.0
2,4.492753623188406,1,0.01978021978021978,0.028571428571428574,0.12316990506033679,0.0026134582982655927,0.008118916822029199,0.0
3,4.63768115942029,1,0.03324175824175824,0.028571428571428574,0.13197093116810257,0.0012647237741668213,0.008060895849386587,0.0
4,6.521739130434783,1,0.021245421245421246,0.0380952380952381,0.13557527342912284,0.0028009256602940413,0.009023450168346181,0.0
5,4.782608695652174,1,0.001098901098901099,0.028571428571428574,0.09830218568082645,0.0007193718463801422,0.013245046138548731,0.0
6,5.217391304347826,1,0.0836996336996337,0.0380952380952381,0.151628715765489,0.006684222589348941,0.012815799743463776,0.0
7,6.521739130434783,1,0.0032967032967032967,0.028571428571428574,0.09692472802304855,0.00032839620237670904,0.015940915737152814,0.0
8,6.9565217391304355,1,0.017582417582417582,0.0380952380952381,0.12565165361634117,0.002725220006170537,0.008224885504215493,0.0
9,0.2898550724637681,1,0.007142857142857143,0.028571428571428574,0.10743304243153778,0.00046059933693407375,0.030139056441699237,0.0
10,6.811594202898551,1,0.017353479853479854,0.0380952380952381,0.11300329197265133,0.001889294811581995,0.011869679096108119,0.16666666666666666
11,7.101449275362319,1,0.0034798534798534796,0.028571428571428574,0.10197018014899845,0.00035653588760692915,0.014939271848508691,0.0
12,3.1884057971014492,1,0.025824175824175823,0.0380952380952381,0.11979723887991853,0.0021235373841846828,0.01979332199848227,0.16666666666666666
13,6.231884057971015,1,0.017078754578754577,0.028571428571428574,0.11134472282154023,0.0004804004817081486,0.009843928885703197,0.0
14,5.507246376811595,1,0.008195970695970696,0.0380952380952381,0.11331428891502827,0.0013654344785775728,0.011884438136323314,0.0
15,0.5797101449275363,1,0.01575091575091575,0.01904761904761905,0.10714210054303692,0.0015986773392890864,0.016717751532963485,0.0
16,6.521739130434783,1,0.010485347985347985,0.0380952380952381,0.1412808156994203,0.007432722593187047,0.008905147215575919,0.0
17,6.231884057971015,1,0.0,0.01904761904761905,0.11243511221279862,0.0029708887696236023,0.0029881226859701116,0.0
18,6.811594202898551,1,0.010439560439560439,0.0380952380952381,0.1664636956092423,0.03267198444001658,0.0066404814741307565,0.3333333333333333
19,4.782608695652174,3,0.017216117216117217,0.04761904761904762,0.158278522212196,0.029027986876593234,0.007490024986703797,0.4
