Node1,Node2,weight,Resistance
0,1,0.43999999999999995,2.272727272727273
0,2,0.4376657824933686,2.284848484848485
1,3,0.5076923076923077,1.9696969696969697
2,3,0.5045871559633027,1.981818181818182
2,32,0.3626373626373626,2.757575757575758
3,13,0.452054794520548,2.212121212121212
3,30,0.2674230145867099,3.7393939393939393
3,14,0.3142857142857143,3.181818181818182
3,15,0.5076923076923077,1.9696969696969697
4,19,0.76036866359447,1.3151515151515152
4,20,0.673469387755102,1.4848484848484849
4,30,0.6470588235294118,1.5454545454545454
4,5,0.32544378698224846,3.072727272727273
4,6,0.28109028960817717,3.5575757575757576
5,7,0.7674418604651163,1.303030303030303
6,7,0.5593220338983051,1.7878787878787878
6,33,0.2,5.0
7,8,0.5749128919860627,1.7393939393939395
7,34,0.5555555555555556,1.8
8,9,0.6000000000000001,1.6666666666666665
8,10,1.0,1.0
8,35,0.3095684803001876,3.2303030303030305
8,12,0.5076923076923078,1.9696969696969695
8,21,0.38823529411764707,2.5757575757575757
8,22,0.452054794520548,2.212121212121212
9,11,0.5956678700361012,1.6787878787878785
9,12,0.7674418604651162,1.3030303030303032
9,22,0.6470588235294117,1.5454545454545456
9,23,0.540983606557377,1.8484848484848488
10,12,0.5076923076923078,1.9696969696969695
10,35,0.3095684803001876,3.2303030303030305
11,12,0.5045871559633028,1.9818181818181817
12,36,0.7674418604651162,1.3030303030303032
12,37,0.3691275167785235,2.709090909090909
13,15,0.8048780487804879,1.2424242424242424
13,30,0.39568345323741005,2.5272727272727273
14,16,0.8461538461538463,1.1818181818181817
14,17,0.6,1.6666666666666667
15,17,0.6470588235294118,1.5454545454545454
15,30,0.36105032822757116,2.7696969696969695
16,18,0.489614243323442,2.042424242424243
17,18,0.3459119496855345,2.8909090909090915
17,32,0.449591280653951,2.224242424242424
18,19,0.39568345323741,2.527272727272728
18,20,0.5789473684210524,1.7272727272727277
18,32,0.5999999999999999,1.6666666666666672
20,30,0.942857142857143,1.0606060606060606
21,30,1.0,1.0
22,30,0.7333333333333333,1.3636363636363638
22,24,0.7021276595744681,1.4242424242424243
23,31,0.647058823529412,1.545454545454545
23,32,0.942857142857143,1.0606060606060606
23,30,0.942857142857143,1.0606060606060606
23,37,0.3072625698324022,3.254545454545455
23,24,0.891891891891892,1.121212121212121
23,28,1.0,1.0
23,39,0.5238095238095238,1.909090909090909
23,50,0.4896142433234421,2.0424242424242425
23,61,0.6179775280898876,1.6181818181818184
23,25,0.7333333333333333,1.3636363636363638
24,30,0.942857142857143,1.0606060606060606
24,29,0.942857142857143,1.0606060606060606
24,38,0.5789473684210527,1.727272727272727
25,30,0.7021276595744681,1.4242424242424243
25,32,0.7021276595744681,1.4242424242424243
25,61,0.7971014492753623,1.2545454545454546
25,26,0.7021276595744681,1.4242424242424243
25,66,0.942857142857143,1.0606060606060606
26,30,1.0,1.0
26,27,0.8461538461538459,1.181818181818182
26,67,0.6734693877551022,1.4848484848484844
27,30,0.8461538461538459,1.181818181818182
27,28,0.8918918918918917,1.1212121212121215
27,68,0.8461538461538459,1.181818181818182
28,30,0.942857142857143,1.0606060606060606
28,33,0.5108359133126935,1.9575757575757575
28,34,0.4074074074074074,2.4545454545454546
28,35,0.5830388692579505,1.7151515151515153
28,36,0.8048780487804876,1.2424242424242427
28,37,0.3072625698324022,3.254545454545455
28,69,0.891891891891892,1.121212121212121
28,68,0.942857142857143,1.0606060606060606
28,70,0.6962025316455697,1.4363636363636363
28,71,0.6420233463035019,1.5575757575757578
28,40,0.5445544554455445,1.8363636363636364
28,41,0.3402061855670103,2.9393939393939394
28,29,0.8461538461538463,1.1818181818181817
28,42,0.3793103448275862,2.6363636363636367
29,38,0.6000000000000001,1.6666666666666665
29,42,0.3548387096774194,2.818181818181818
30,31,0.6734693877551022,1.4848484848484844
30,32,1.0,1.0
30,33,0.5271565495207667,1.896969696969697
33,34,0.29307282415630553,3.412121212121212
34,35,0.3154875717017208,3.16969696969697
35,36,0.5108359133126934,1.9575757575757577
36,37,0.3319919517102616,3.012121212121212
38,39,0.36263736263736274,2.757575757575757
38,43,0.27272727272727276,3.6666666666666665
39,42,0.5789473684210525,1.7272727272727275
40,71,0.4177215189873418,2.393939393939394
40,41,0.26484751203852325,3.775757575757576
40,44,0.3563714902807775,2.806060606060606
41,42,0.7674418604651163,1.303030303030303
41,44,0.5076923076923078,1.9696969696969695
42,68,0.3707865168539326,2.696969696969697
42,70,0.45454545454545453,2.2
42,44,0.6000000000000001,1.6666666666666665
42,43,0.8461538461538461,1.1818181818181819
42,49,0.4177215189873418,2.393939393939394
42,45,0.5271565495207667,1.896969696969697
42,48,0.4177215189873418,2.393939393939394
42,56,0.942857142857143,1.0606060606060606
42,57,0.942857142857143,1.0606060606060606
43,44,0.5409836065573771,1.8484848484848484
44,50,0.9322033898305084,1.0727272727272728
44,61,0.7399103139013453,1.3515151515151516
44,66,0.6,1.6666666666666667
44,67,0.3975903614457832,2.5151515151515147
44,68,0.49253731343283585,2.0303030303030303
44,69,0.4782608695652174,2.090909090909091
44,71,0.7081545064377682,1.412121212121212
44,46,0.9537572254335261,1.0484848484848484
44,47,0.8549222797927459,1.16969696969697
44,48,0.5789473684210527,1.7272727272727273
44,45,0.8128078817733989,1.2303030303030305
44,52,0.6470588235294117,1.5454545454545456
44,53,0.9880239520958083,1.0121212121212122
44,54,0.5409836065573771,1.8484848484848484
44,51,0.5409836065573771,1.8484848484848484
44,55,0.8128078817733989,1.2303030303030305
44,56,0.5789473684210527,1.727272727272727
44,58,0.9322033898305084,1.0727272727272728
45,71,0.8461538461538463,1.1818181818181817
45,51,0.6179775280898877,1.618181818181818
46,47,0.8918918918918917,1.1212121212121215
46,59,0.702127659574468,1.4242424242424245
47,48,0.642023346303502,1.5575757575757574
47,60,0.5789473684210527,1.7272727272727273
48,62,0.4074074074074074,2.4545454545454546
48,63,0.44000000000000006,2.2727272727272725
48,49,1.0,1.0
48,64,0.891891891891892,1.121212121212121
48,51,0.891891891891892,1.121212121212121
48,72,0.7674418604651162,1.3030303030303032
49,65,0.6226415094339622,1.6060606060606062
50,61,0.7021276595744681,1.4242424242424243
51,52,0.7674418604651164,1.3030303030303028
51,73,0.6470588235294115,1.545454545454546
51,54,1.0,1.0
51,55,0.6179775280898877,1.618181818181818
51,84,0.7674418604651164,1.3030303030303028
52,53,0.6420233463035019,1.5575757575757578
52,73,0.540983606557377,1.8484848484848488
53,54,0.5374592833876222,1.8606060606060606
53,73,0.415617128463476,2.4060606060606067
54,84,0.7674418604651164,1.3030303030303028
55,84,0.76036866359447,1.3151515151515152
55,56,0.5108359133126935,1.9575757575757575
55,57,0.5108359133126935,1.9575757575757575
55,58,0.7674418604651162,1.3030303030303032
56,84,0.43999999999999995,2.272727272727273
57,84,0.43999999999999995,2.272727272727273
58,59,0.6470588235294117,1.5454545454545456
58,84,0.6179775280898876,1.6181818181818184
59,60,0.7021276595744681,1.4242424242424243
59,84,0.9322033898305084,1.0727272727272728
60,62,0.3810623556581986,2.624242424242424
60,90,0.5076923076923077,1.96969696969697
61,66,0.76036866359447,1.3151515151515152
62,63,0.8461538461538461,1.1818181818181819
62,84,0.43999999999999995,2.272727272727273
63,64,0.46478873239436624,2.1515151515151514
63,84,0.4782608695652174,2.090909090909091
