Node1,Node2,weight,Resistance
0,1,0.9148936170212767,1.0930232558139534
0,2,0.7288135593220337,1.3720930232558142
1,3,0.3006993006993007,3.3255813953488373
1,14,0.41747572815533984,2.395348837209302
2,14,0.5180722891566266,1.9302325581395345
2,51,0.3739130434782609,2.6744186046511627
3,21,0.26380368098159507,3.7906976744186047
3,22,0.8431372549019607,1.186046511627907
4,25,0.4343434343434344,2.3023255813953485
4,26,0.6056338028169015,1.6511627906976742
4,5,0.6056338028169015,1.6511627906976742
4,40,0.6825396825396824,1.4651162790697676
5,27,0.5180722891566264,1.9302325581395352
5,7,0.7818181818181816,1.2790697674418607
5,61,0.38738738738738737,2.5813953488372094
6,26,0.23497267759562843,4.255813953488372
6,8,0.2574850299401198,3.883720930232558
6,9,0.41747572815533984,2.395348837209302
7,26,0.7818181818181816,1.2790697674418607
7,9,0.3873873873873874,2.581395348837209
7,62,0.8431372549019606,1.1860465116279073
8,10,0.8431372549019606,1.1860465116279073
8,13,0.3739130434782609,2.6744186046511627
8,40,0.8431372549019606,1.1860465116279073
9,10,0.3739130434782608,2.674418604651163
9,40,0.3739130434782608,2.674418604651163
10,11,0.45263157894736833,2.2093023255813957
10,40,1.0,1.0
11,12,0.41747572815533984,2.395348837209302
11,13,0.6056338028169015,1.6511627906976742
12,15,0.21016617790811337,4.758139534883721
12,16,0.6417910447761195,1.5581395348837208
13,16,0.8431372549019607,1.186046511627907
13,40,0.3495934959349593,2.86046511627907
14,22,0.5733333333333334,1.744186046511628
14,29,0.47252747252747246,2.116279069767442
15,17,0.20613614573346115,4.851162790697675
15,16,0.23809523809523808,4.2
16,40,0.3282442748091603,3.046511627906977
16,19,0.3185185185185185,3.1395348837209305
17,18,0.22799575821845178,4.386046511627907
17,19,0.26380368098159507,3.7906976744186047
18,20,0.6656346749226006,1.5023255813953489
19,20,0.9148936170212767,1.0930232558139534
19,63,0.47252747252747246,2.116279069767442
20,28,0.38738738738738737,2.5813953488372094
20,29,0.8431372549019609,1.1860465116279069
20,62,0.9148936170212767,1.0930232558139534
21,23,0.5443037974683543,1.8372093023255816
21,24,0.5443037974683543,1.8372093023255816
22,24,0.3613445378151261,2.767441860465116
22,40,0.3495934959349593,2.86046511627907
23,25,0.5180722891566264,1.9302325581395352
23,26,0.7818181818181816,1.2790697674418607
24,26,0.7818181818181816,1.2790697674418607
24,40,0.9148936170212763,1.0930232558139539
25,27,0.7818181818181816,1.2790697674418607
26,40,0.8431372549019609,1.1860465116279069
26,27,0.5180722891566264,1.9302325581395352
28,29,0.36134453781512604,2.7674418604651163
29,62,0.9148936170212767,1.0930232558139534
29,40,1.0,1.0
29,51,0.3495934959349593,2.86046511627907
30,40,0.7288135593220341,1.3720930232558137
30,63,0.5443037974683543,1.8372093023255816
