Node1,Node2,weight,Resistance
0,1,0.7575757575757576,1.32
1,2,1.0,1.0
1,27,0.3623188405797102,2.76
1,7,0.49019607843137253,2.04
2,27,0.3623188405797102,2.76
2,7,0.49019607843137253,2.04
2,38,0.43859649122807015,2.2800000000000002
3,13,0.7575757575757576,1.32
3,4,0.8064516129032259,1.24
3,5,0.49019607843137253,2.04
4,5,0.43859649122807015,2.2800000000000002
4,6,0.8064516129032259,1.24
5,14,0.29411764705882354,3.4
5,6,0.49019607843137253,2.04
5,38,0.2577319587628866,3.88
5,15,0.2577319587628866,3.88
5,16,0.49019607843137253,2.04
6,15,0.35211267605633806,2.84
6,27,0.45454545454545453,2.2
7,37,0.29411764705882354,3.4
7,16,0.6756756756756757,1.48
7,8,1.0,1.0
7,38,0.30120481927710846,3.32
7,9,0.6756756756756757,1.48
7,27,0.5813953488372093,1.72
7,10,0.9259259259259258,1.08
7,11,0.3333333333333333,3.0
7,12,0.8064516129032259,1.24
7,39,0.2631578947368421,3.8
8,9,0.6756756756756757,1.48
8,10,0.9259259259259258,1.08
9,27,0.45454545454545453,2.2
10,37,0.30120481927710846,3.32
11,12,0.3623188405797102,2.76
12,13,0.9259259259259258,1.08
12,14,0.3846153846153846,2.6
12,38,0.3246753246753247,3.08
13,14,0.373134328358209,2.6799999999999997
14,38,0.6756756756756757,1.48
15,16,0.35211267605633806,2.84
15,27,0.24752475247524752,4.04
16,27,0.45454545454545453,2.2
16,37,0.3424657534246575,2.92
16,38,0.35211267605633806,2.84
17,37,0.8620689655172414,1.16
17,43,0.2808988764044944,3.56
17,18,0.8620689655172414,1.16
17,21,0.2631578947368421,3.8
18,39,0.5813953488372093,1.72
18,42,0.3846153846153846,2.6
18,21,0.2747252747252747,3.64
19,27,0.2631578947368421,3.8
19,21,0.2747252747252747,3.64
20,27,0.25252525252525254,3.96
20,42,0.3623188405797102,2.76
20,21,0.2631578947368421,3.8
20,25,0.20729684908789386,4.824
21,27,0.8620689655172414,1.16
21,42,0.49019607843137253,2.04
21,26,0.3968253968253968,2.52
21,22,0.42372881355932196,2.3600000000000003
21,23,0.8620689655172414,1.16
21,25,0.49407114624505927,2.024
21,24,0.3846153846153846,2.6
21,28,0.6684491978609626,1.496
21,29,1.0,1.0
21,31,0.8064516129032259,1.24
21,32,0.35211267605633806,2.84
21,33,0.2808988764044944,3.56
21,34,0.3846153846153846,2.6
22,27,0.3968253968253968,2.52
22,42,0.7575757575757576,1.32
22,24,0.8064516129032259,1.24
22,23,0.3968253968253968,2.52
23,43,0.7142857142857143,1.4
24,42,0.641025641025641,1.56
24,25,0.2759381898454746,3.624
24,26,0.9259259259259258,1.08
25,26,0.28216704288939054,3.544
25,28,0.3968253968253968,2.52
25,30,0.3026634382566586,3.304
25,31,0.4416961130742049,2.2640000000000002
25,29,0.49407114624505927,2.024
25,35,0.22603978300180835,4.4239999999999995
25,33,0.21815008726003493,4.584
25,34,0.2759381898454746,3.624
25,45,0.24366471734892786,4.104
27,40,0.3623188405797102,2.76
27,37,0.24271844660194175,4.12
27,41,0.43859649122807015,2.2800000000000002
27,38,0.24752475247524752,4.04
27,42,0.45454545454545453,2.2
27,43,0.7142857142857143,1.4
29,36,0.2631578947368421,3.8
29,35,0.29411764705882354,3.4
29,32,0.35211267605633806,2.84
29,33,0.2808988764044944,3.56
29,45,0.3246753246753247,3.08
29,34,0.3846153846153846,2.6
29,56,0.3424657534246575,2.92
29,66,0.641025641025641,1.56
30,44,0.5555555555555556,1.8
31,45,0.35211267605633806,2.84
31,32,0.3846153846153846,2.6
32,45,0.8064516129032259,1.24
33,45,0.6756756756756757,1.48
34,45,0.6756756756756757,1.48
35,66,0.35211267605633806,2.84
35,36,0.7142857142857143,1.4
35,44,0.7575757575757576,1.32
35,45,0.7575757575757576,1.32
36,66,0.30864197530864196,3.24
37,38,0.9259259259259258,1.08
37,43,0.26881720430107525,3.72
37,39,0.7142857142857143,1.4
38,42,0.35211267605633806,2.84
38,39,0.6756756756756757,1.48
38,41,0.3623188405797102,2.76
40,41,0.6756756756756757,1.48
40,42,0.641025641025641,1.56
41,42,0.9259259259259258,1.08
44,45,1.0,1.0
45,56,0.8620689655172414,1.16
45,66,0.3968253968253968,2.52
45,67,0.43859649122807015,2.2800000000000002
45,68,0.8620689655172414,1.16
45,69,0.8064516129032259,1.24
45,71,0.9259259259259258,1.08
45,70,0.6097560975609756,1.6400000000000001
46,67,0.3623188405797102,2.76
46,72,0.9259259259259258,1.08
46,69,0.8064516129032259,1.24
47,71,0.4716981132075471,2.12
47,48,0.5555555555555556,1.8
47,50,0.45454545454545453,2.2
48,72,0.5555555555555556,1.8
48,67,0.5319148936170213,1.88
48,51,0.8064516129032259,1.24
48,50,0.3333333333333333,3.0
48,53,0.45787545787545786,2.184
48,52,0.49407114624505927,2.024
48,57,0.4716981132075471,2.12
48,54,0.6097560975609756,1.6400000000000001
48,61,0.6097560975609756,1.6400000000000001
48,55,0.9259259259259258,1.08
48,63,0.8064516129032259,1.24
49,69,0.6756756756756757,1.48
