Node,weight,num_nodes,Betweenness,Degree,Closeness,Eigenvector,PageRank,Clustering
0,3.2,1,0.0,0.012578616352201259,0.07255267801009961,0.0003360814701484386,0.004989786777496601,0.0
1,3.8000000000000003,1,0.0008359207069500835,0.01886792452830189,0.07558151817970549,0.0004968850123166917,0.006848585937251435,0.0
2,3.8000000000000003,1,0.011663084149351166,0.01886792452830189,0.0796770601336303,0.0015277407136725328,0.0059130512501845076,0.3333333333333333
3,1.2000000000000002,1,0.0,0.01886792452830189,0.08023729155686138,0.0005739684888967138,0.006808077294426802,0.3333333333333333
4,0.8,1,0.005990765066475597,0.01886792452830189,0.07584269662921347,0.0005178704941785033,0.009523545291030163,0.0
5,3.6,1,0.01029642013640103,0.025157232704402517,0.08933588043600404,0.002793886490571982,0.007412870859439075,0.16666666666666666
6,4.2,1,0.004219409282700422,0.01886792452830189,0.07205075273148384,0.0002688964266960209,0.007445782995910928,0.0
7,6.2,1,0.0022291218852002227,0.01886792452830189,0.06770887549326697,0.00014455442189025274,0.005590482218408737,0.0
8,4.6000000000000005,1,0.011828941432476182,0.025157232704402517,0.08132252821567805,0.0015471880197789553,0.006563313330327444,0.16666666666666666
9,5.0,1,0.001831064405700183,0.01886792452830189,0.07053361067024182,0.00010962444721328881,0.005502620043441351,0.0
10,4.800000000000001,1,0.009792213995700978,0.025157232704402517,0.07907125806736807,0.0011312035013989767,0.005832469284459386,0.0
11,1.0,1,0.002859379561075286,0.01886792452830189,0.07200000000000002,0.00011187198034778985,0.009076299797241585,0.0
12,2.6,1,0.01030968871905103,0.025157232704402517,0.08431136877828055,0.0010820337145020125,0.006078632144616125,0.0
13,5.0,1,0.0,0.012578616352201259,0.0687914623593885,0.00011151625479907525,0.004532364585911992,0.0
14,5.0,1,0.015365018708701536,0.025157232704402517,0.0821356414730462,0.0019943668081408485,0.0077760205367451325,0.16666666666666666
15,2.2,1,0.015451264495926542,0.025157232704402517,0.0812034683130561,0.0007173799608434679,0.0092981522687509,0.0
16,3.9333333333333336,3,0.018317278348326832,0.031446540880503145,0.08048187892285891,0.0010508825880521854,0.009099400508149435,0.2
17,4.0,1,0.0015524241700501551,0.01886792452830189,0.07573672622576001,0.0005272444362595637,0.005032417114828805,0.3333333333333333
18,5.0,1,0.001651938539925165,0.01886792452830189,0.0793219662535199,0.0012059775204340116,0.005109121488312442,0.0
19,2.4000000000000004,1,0.016194305124326618,0.025157232704402517,0.08477488151658766,0.0020166973731454633,0.007209243169249268,0.3333333333333333
20,2.4000000000000004,1,0.009234933524400923,0.01886792452830189,0.08286716931308852,0.0010511433800551968,0.00669050574121308,0.0
21,3.7600000000000002,5,0.05390361701563038,0.08176100628930819,0.09508305647840533,0.011601519143989701,0.013728020429428554,0.08974358974358974
22,6.2,1,0.0022689276331502267,0.01886792452830189,0.08284510108144408,0.0021821217472394626,0.004694244392522714,0.0
23,2.4000000000000004,1,0.018310644057001828,0.025157232704402517,0.08985194208285718,0.003036201176127587,0.006690705145669092,0.0
24,3.0,1,0.009314545020300932,0.025157232704402517,0.08871997718452021,0.0036116723976289166,0.005985601541335753,0.0
25,2.6,1,0.0,0.01886792452830189,0.07701912830062756,0.0006873240251805523,0.004820497914913159,0.6666666666666666
26,2.0,1,0.0,0.012578616352201259,0.08254213628969924,0.0016516052676017565,0.00404378595411929,0.0
27,4.4,2,0.0840631053790834,0.03773584905660378,0.10228296141695138,0.011545490707433735,0.007299470866002805,0.26666666666666666
28,8.0,1,0.010150465727251014,0.01886792452830189,0.09091717705659613,0.0036410063228514166,0.005061297814319247,0.3333333333333333
29,6.2,1,0.013852400286601384,0.025157232704402517,0.10399709302325583,0.012255413937840584,0.004241390788089459,0.5
30,3.6,3,0.03617679059522862,0.03773584905660378,0.09653916211293259,0.01013915882220108,0.00882801531543595,0.3333333333333333
31,4.3,2,0.042744739006979275,0.031446540880503145,0.09596169579270664,0.009738372331926152,0.00840816372324982,0.2
32,3.8000000000000003,1,0.0240028660138524,0.025157232704402517,0.10025220680958385,0.009514983243739322,0.0057595993537912105,0.16666666666666666
33,3.0,1,0.021276172279277125,0.025157232704402517,0.0926501437339756,0.003843351153826709,0.00759547641237385,0.0
34,3.1,2,0.05938354165008094,0.04402515723270441,0.09115114145943744,0.003440246099454134,0.014040067402208924,0.14285714285714285
35,5.4,1,0.014933789772576493,0.025157232704402517,0.08608140136430902,0.003405345075450334,0.007832442646177065,0.3333333333333333
36,5.2,1,0.002069898893400207,0.01886792452830189,0.0820320561326271,0.0006684223034002483,0.005327482848400938,0.0
37,4.8,2,0.027664994825252767,0.050314465408805034,0.09044940269262375,0.004948348191570679,0.01410701870799573,0.17857142857142858
38,2.6,1,0.0003184459836000318,0.01886792452830189,0.0725673948761638,0.00031768655744562934,0.0061585809449340384,0.0
39,1.4000000000000001,1,0.0,0.025157232704402517,0.07356645657471288,0.0011112040777962354,0.005388658735963198,0.3333333333333333
40,4.133333333333334,3,0.04446302046015444,0.03773584905660378,0.09103864211825484,0.005209472124892256,0.010129945796070607,0.2
41,4.5,2,0.052536953002680256,0.03773584905660378,0.10176072363181249,0.013603212929817414,0.007823796688241659,0.3333333333333333
42,3.6333333333333333,6,0.015379614149616538,0.050314465408805034,0.11007014952925975,0.05126186389265494,0.007791519547915069,0.35714285714285715
43,5.0,1,0.0,0.01886792452830189,0.1099551266289648,0.035258575419493426,0.00339620331132329,1.0
44,8.200000000000001,1,0.0042990207786004295,0.01886792452830189,0.10649698593436033,0.02308564544388,0.0036971454584665184,0.3333333333333333
45,5.800000000000001,1,0.0019770188148501974,0.01886792452830189,0.10767008261478035,0.017501090890230567,0.0027206004654657225,0.3333333333333333
46,4.0,1,0.0012870525170501283,0.01886792452830189,0.10400011628245007,0.021433248655325213,0.0032970821282340655,0.3333333333333333
47,3.466666666666667,3,0.06616378738423162,0.06289308176100629,0.11819608490955648,0.09838901720530319,0.007961193587334986,0.24444444444444444
48,6.6000000000000005,1,0.029391237428017938,0.025157232704402517,0.11550196135406075,0.04870538796026226,0.004321053673277675,0.3333333333333333
49,3.6,1,0.0,0.025157232704402517,0.117074367994764,0.05350734980747673,0.003969436343969387,0.8333333333333334
50,4.942857142857144,7,0.013701138444391369,0.07547169811320756,0.12083903328773372,0.12156433557723811,0.010184756088850867,0.3181818181818182
51,6.0,1,0.004870896690815487,0.025157232704402517,0.11346516754150877,0.04561250777961533,0.0037073800939369673,0.3333333333333333
52,3.0,1,0.028341692540402832,0.01886792452830189,0.10009512884362495,0.011106393048777306,0.005332346175486421,0.3333333333333333
53,2.4000000000000004,1,0.0,0.025157232704402517,0.10667481699044327,0.044653555549409474,0.004768061504399627,0.8333333333333334
54,5.0,1,0.0,0.025157232704402517,0.10864778680434285,0.03592267586914041,0.0032288505108375803,0.3333333333333333
55,8.600000000000001,1,0.007881538094100787,0.025157232704402517,0.1139403783680489,0.055878913870460956,0.0036759324094927616,0.3333333333333333
56,6.222222222222222,9,0.36383117055436126,0.08176100628930819,0.13049901510177284,0.20011800421797069,0.010065709495245453,0.28205128205128205
57,4.550000000000001,8,0.038279860945253825,0.06918238993710692,0.11953688853247793,0.12265022545140732,0.008104061712223989,0.32727272727272727
58,5.6000000000000005,1,0.0,0.025157232704402517,0.10700025422841675,0.06261322997917498,0.0030238971640305693,0.6666666666666666
59,5.640000000000001,5,0.07154088050314465,0.06918238993710692,0.12569611580556195,0.1932718950632634,0.00812500143464443,0.34545454545454546
60,3.6,1,0.0064684340418756465,0.025157232704402517,0.116403924056811,0.07375734052307047,0.0034885299659054474,0.5
61,5.2,4,0.010432423108563543,0.06289308176100629,0.12699229704305853,0.1878527892482768,0.007637786136364163,0.4666666666666667
62,10.0,1,0.0011145609426001114,0.025157232704402517,0.11383704835091406,0.0785397644563549,0.003480529336335804,0.5
63,3.8400000000000007,5,0.01811161531725181,0.050314465408805034,0.09721995760639168,0.01242781054458822,0.008818340386113194,0.2857142857142857
64,5.466666666666666,3,0.015716636148926568,0.05660377358490566,0.11793696841827651,0.15852528263290505,0.007432831505664545,0.4722222222222222
65,4.585714285714287,14,0.49138271899795666,0.15723270440251574,0.13571956979457125,0.3017150228211441,0.017518725862431653,0.14333333333333334
66,3.0,2,0.005745296287450574,0.050314465408805034,0.11007522961185218,0.11509401103031035,0.005565406532835814,0.4642857142857143
67,3.8000000000000003,1,0.00014595440915001457,0.025157232704402517,0.1160979409044443,0.08048675265687158,0.003762288423507026,0.6666666666666666
68,8.4,1,0.0024812249555502476,0.025157232704402517,0.12372898941689148,0.11027416064165181,0.003523430766324118,0.6666666666666666
69,9.4,1,0.0,0.01886792452830189,0.115714909514337,0.08676120986754646,0.0025544757567329134,1.0
70,5.2,1,0.006289308176100628,0.025157232704402517,0.11828401388659285,0.06812921808040757,0.003525945877315401,0.5
71,4.2,4,0.014117108510468912,0.08176100628930819,0.12141111789859502,0.1696747225137817,0.00945045444613566,0.20512820512820512
72,4.6,1,0.0005572804713000557,0.025157232704402517,0.11456798821494915,0.08324451226846714,0.0034760314636848137,0.5
73,6.0,2,0.0,0.01886792452830189,0.12042616218399706,0.1028065783010106,0.0032872247323324265,1.0
74,5.0249999999999995,24,0.3980773823740148,0.1320754716981132,0.1199396530047775,0.076707643765652,0.018856135919567918,0.10476190476190476
75,5.4,1,0.00011941724385001193,0.025157232704402517,0.11986129259222035,0.07647214533761522,0.0031990251341049354,0.5
76,5.4,1,0.0,0.025157232704402517,0.09592953101118175,0.03768611355241181,0.0023678220477954927,0.3333333333333333
77,3.4000000000000004,1,0.0009553379508000955,0.025157232704402517,0.1056540807135157,0.04000456768690253,0.0029520616823276785,0.5
78,5.6,1,0.0044582437704004454,0.01886792452830189,0.10722635175638413,0.03011117133643172,0.003359694220110459,0.3333333333333333
79,2.4000000000000004,1,0.0001592229918000159,0.025157232704402517,0.10305195085768601,0.03335632486398492,0.004431706097781671,0.16666666666666666
80,5.6000000000000005,1,0.0060504736884006045,0.025157232704402517,0.11777583908083819,0.05750877974063924,0.00515797269150612,0.16666666666666666
81,1.0,1,0.02931029907385293,0.025157232704402517,0.10322143197195495,0.014997592286701672,0.007686496377611392,0.3333333333333333
82,4.0,1,0.0064684340418756465,0.025157232704402517,0.09530342586179337,0.00763112372252578,0.005630664460153851,0.3333333333333333
83,4.2,1,0.019677308069951965,0.01886792452830189,0.10191146308113035,0.008450050553505466,0.004430821983727717,0.0
84,7.6000000000000005,1,0.02958363187644296,0.025157232704402517,0.10922330097087375,0.020553279258457888,0.004240025731298852,0.16666666666666666
85,4.4,2,0.00019239444842501926,0.01886792452830189,0.10019605097325306,0.013689164730814874,0.0030327742109027356,0.6666666666666666
86,1.6,1,0.003841254677175384,0.025157232704402517,0.11962482444994317,0.06481487072207262,0.005593051839817894,0.3333333333333333
87,3.8,2,0.016270599474564124,0.04402515723270441,0.12692471439721845,0.11485675563553199,0.00587447972732513,0.38095238095238093
88,2.3666666666666667,6,0.4176989623968367,0.07547169811320756,0.13214516575861113,0.1814610452025375,0.012016378433171859,0.22727272727272727
89,4.6,1,0.012253536077276226,0.025157232704402517,0.12125269026758632,0.07732125595220496,0.0045124372835680295,0.3333333333333333
90,5.0,1,0.0021495103893002148,0.025157232704402517,0.11759775159015826,0.08544912647700606,0.00514464658521068,0.3333333333333333
91,5.35,8,0.020474086458084545,0.06918238993710692,0.12356872700896324,0.18828917854353516,0.011203986675160621,0.3090909090909091
92,4.4,1,0.0,0.025157232704402517,0.11019729242711275,0.08150961805300617,0.0035486868102250907,0.6666666666666666
93,4.1000000000000005,4,0.01562043892471406,0.06289308176100629,0.12193874942481725,0.16202569509286127,0.009855680559553881,0.28888888888888886
94,5.4,2,0.0043786322745004375,0.025157232704402517,0.11725663716814165,0.08570600028369367,0.003972973928533746,0.5
95,4.4,33,0.44877995382533237,0.12578616352201258,0.12482118558319663,0.2652652045859477,0.015093207587736641,0.20526315789473684
96,3.8000000000000003,1,0.008598041557200859,0.025157232704402517,0.10740985378448968,0.07816946487041321,0.0037912378473182575,0.5
97,4.6000000000000005,1,0.0,0.025157232704402517,0.12145233568712659,0.121801624358359,0.004686193773511431,1.0
