Node,weight,num_nodes,Betweenness,Degree,Closeness,Eigenvector,PageRank,Clustering
0,4.912280701754385,1,0.00014428973378544116,0.011976047904191617,0.08590857023846708,6.696966371596972e-05,0.0034617602561014126,0.0
1,3.508771929824561,1,0.0006493038020344852,0.017964071856287428,0.0774331008719648,3.926725833221998e-05,0.005604206610504891,0.0
2,6.491228070175438,1,0.011398888969049852,0.017964071856287428,0.09999442441813956,0.0005414498666083735,0.0038340488196008504,0.0
3,3.859649122807017,1,0.012048192771084336,0.017964071856287428,0.08472125517839135,9.246399034639675e-05,0.00644664628400167,0.3333333333333333
4,3.6842105263157894,1,0.0,0.011976047904191617,0.07695981760547481,3.485425809287944e-05,0.003587768201215381,0.0
5,2.807017543859649,2,0.028334896472116008,0.029940119760479042,0.09036024490958278,0.00027370612869879996,0.010164531672489855,0.0
6,3.333333333333333,1,0.0019479114061034556,0.017964071856287428,0.08159926568771546,5.4793183226239535e-05,0.005727717488567925,0.0
7,4.56140350877193,1,0.04083399466127985,0.017964071856287428,0.09716392245542133,0.0004627315994005635,0.005347178313008319,0.0
8,2.4561403508771926,1,0.0002885794675708823,0.017964071856287428,0.07177396482033457,1.9837839010892114e-05,0.005218309845563989,0.0
9,2.8771929824561404,1,7.214486689272058e-05,0.023952095808383235,0.08106254446265533,0.00012476642427532755,0.005244020632706701,0.16666666666666666
10,3.6842105263157894,1,0.0,0.011976047904191617,0.0741456417483337,2.2135061754582565e-05,0.0040121664019124184,0.0
11,6.491228070175438,1,0.010388860832551763,0.023952095808383235,0.08309880435549019,0.0001498797333102814,0.0068318417285164286,0.16666666666666666
12,2.631578947368421,2,0.013960031743741433,0.029940119760479042,0.08365749285091366,0.00016324499337525727,0.010918243248244665,0.0
13,4.2105263157894735,1,0.0005771589351417646,0.011976047904191617,0.0863799133038762,0.00010912199197971586,0.004897597459810725,0.0
14,6.140350877192982,1,7.214486689272058e-05,0.023952095808383235,0.07980011762338848,0.00016483555477883607,0.0038761655784351682,0.0
15,3.333333333333333,1,0.0,0.017964071856287428,0.09093975563619687,0.00036515506874159107,0.004767900765983733,0.3333333333333333
16,4.035087719298246,1,0.000505014068249044,0.017964071856287428,0.08528176745320759,9.792208916281046e-05,0.005849683159050465,0.3333333333333333
17,5.175438596491228,2,0.03969170093547844,0.029940119760479042,0.09422958309537409,0.00044949028025475607,0.008369128876551895,0.2
