Node1,Node2,weight,Resistance
0,1,0.7377049180327869,1.3555555555555554
0,2,0.7894736842105264,1.2666666666666664
1,13,0.7894736842105262,1.2666666666666668
1,18,0.4128440366972478,2.4222222222222216
2,18,0.4285714285714286,2.333333333333333
2,52,0.8490566037735848,1.1777777777777778
3,23,0.7894736842105264,1.2666666666666664
3,5,0.42857142857142855,2.3333333333333335
3,6,1.0,1.0
4,23,1.0,1.0
4,24,0.7377049180327868,1.3555555555555556
4,6,0.7894736842105264,1.2666666666666664
4,54,0.371900826446281,2.688888888888889
5,7,0.3284671532846715,3.0444444444444447
5,8,0.4639175257731958,2.155555555555556
6,8,0.8490566037735848,1.1777777777777778
6,48,0.7894736842105261,1.266666666666667
7,9,0.4639175257731959,2.1555555555555554
7,8,0.5294117647058824,1.8888888888888888
8,48,0.9183673469387752,1.0888888888888892
8,11,0.8490566037735848,1.1777777777777778
9,10,0.5844155844155843,1.7111111111111115
9,11,0.6923076923076924,1.4444444444444442
10,12,0.4639175257731958,2.155555555555556
10,14,0.5555555555555556,1.8
11,14,0.7377049180327868,1.3555555555555556
11,48,0.7894736842105261,1.266666666666667
12,15,0.5294117647058825,1.8888888888888886
12,16,0.6521739130434782,1.5333333333333337
13,19,0.9183673469387752,1.0888888888888892
13,20,0.8490566037735848,1.1777777777777778
14,16,0.8490566037735848,1.1777777777777778
14,55,0.7377049180327868,1.3555555555555556
15,17,0.6164383561643836,1.6222222222222222
15,25,0.3846153846153846,2.6
16,25,0.8490566037735848,1.1777777777777778
16,56,0.6923076923076924,1.4444444444444442
17,25,0.5056179775280899,1.9777777777777779
18,20,0.50561797752809,1.9777777777777772
18,48,0.50561797752809,1.9777777777777772
19,21,0.849056603773585,1.1777777777777776
19,22,0.5844155844155845,1.711111111111111
20,22,0.5056179775280898,1.9777777777777783
20,48,1.0,1.0
21,23,0.9183673469387754,1.088888888888889
22,23,0.6923076923076922,1.4444444444444446
22,48,0.5056179775280898,1.9777777777777783
23,24,0.7377049180327868,1.3555555555555556
23,48,0.6521739130434782,1.5333333333333337
24,53,0.44554455445544555,2.2444444444444445
25,48,0.6923076923076924,1.4444444444444442
25,26,0.4128440366972477,2.4222222222222225
25,37,0.3191489361702127,3.1333333333333337
25,51,0.5294117647058824,1.8888888888888888
26,37,0.5844155844155845,1.711111111111111
26,48,0.5056179775280898,1.9777777777777783
27,37,0.6164383561643836,1.6222222222222222
27,48,0.3020134228187919,3.3111111111111113
27,55,0.26627218934911245,3.7555555555555555
27,56,0.24861878453038674,4.022222222222222
27,28,0.20737327188940094,4.822222222222222
27,29,0.3103448275862069,3.2222222222222223
27,30,0.2,5.0
27,34,0.24861878453038674,4.022222222222222
27,31,0.24861878453038674,4.022222222222222
27,36,0.23809523809523808,4.2
27,32,0.29411764705882354,3.4
27,35,0.2542372881355932,3.9333333333333336
27,38,0.27272727272727276,3.6666666666666665
27,39,0.2866242038216561,3.4888888888888885
27,33,0.2601156069364162,3.844444444444444
27,41,0.3488372093023256,2.8666666666666667
27,42,0.8490566037735848,1.1777777777777778
27,43,0.5056179775280899,1.9777777777777779
27,47,0.2795031055900621,3.577777777777778
27,44,0.2795031055900621,3.577777777777778
27,49,0.3020134228187919,3.3111111111111113
27,40,0.2866242038216561,3.4888888888888885
27,50,0.41284403669724773,2.422222222222222
27,57,0.23316062176165803,4.288888888888889
27,58,0.48387096774193544,2.066666666666667
28,56,0.5555555555555556,1.8
28,29,0.3846153846153846,2.6
30,56,0.5056179775280899,1.9777777777777779
30,34,0.5056179775280899,1.9777777777777779
31,56,1.0,1.0
31,35,0.9183673469387758,1.0888888888888886
32,56,0.6164383561643836,1.6222222222222222
33,56,0.8490566037735848,1.1777777777777778
33,34,0.8490566037735848,1.1777777777777778
35,36,0.7894736842105264,1.2666666666666664
35,38,0.7894736842105261,1.266666666666667
35,44,0.7377049180327868,1.3555555555555556
36,40,0.5844155844155843,1.7111111111111115
37,48,0.371900826446281,2.688888888888889
38,39,0.8490566037735848,1.1777777777777778
38,45,1.0,1.0
39,46,0.2284263959390863,4.377777777777777
40,41,0.6164383561643837,1.6222222222222218
40,50,0.48387096774193555,2.0666666666666664
41,42,0.371900826446281,2.688888888888889
41,50,0.6923076923076922,1.4444444444444446
42,47,0.29411764705882354,3.4
43,58,0.9183673469387754,1.088888888888889
43,44,0.3846153846153846,2.6
43,47,0.3846153846153846,2.6
44,45,0.9183673469387758,1.0888888888888886
44,58,0.39823008849557523,2.511111111111111
44,69,0.6521739130434782,1.5333333333333337
45,46,0.21951219512195122,4.555555555555555
45,58,0.3846153846153847,2.5999999999999996
46,47,0.22388059701492538,4.466666666666667
46,58,0.3383458646616541,2.9555555555555557
47,58,0.39823008849557523,2.511111111111111
47,50,0.4639175257731958,2.155555555555556
47,57,0.5844155844155845,1.7111111111111108
47,81,0.8490566037735848,1.1777777777777778
48,51,0.6923076923076922,1.4444444444444446
48,55,0.6923076923076924,1.4444444444444442
48,52,0.6521739130434782,1.5333333333333337
48,53,0.4128440366972477,2.4222222222222225
48,56,0.5844155844155845,1.7111111111111108
48,54,0.4639175257731958,2.155555555555556
49,50,0.5294117647058822,1.8888888888888893
