Node,weight,num_nodes,Betweenness,Degree,Closeness,Eigenvector,PageRank,Clustering
0,3.0357142857142856,1,7.128599942971201e-05,0.011904761904761904,0.06468791604667554,1.3170856322961016e-05,0.003620040682134758,0.0
1,1.7857142857142858,1,0.0011049329911605361,0.017857142857142856,0.0682184200746053,3.356546795341128e-05,0.004463857905391661,0.3333333333333333
2,1.7857142857142858,1,0.010728542914171657,0.017857142857142856,0.07194234160999294,6.682720504433262e-05,0.004512282406940779,0.3333333333333333
3,4.642857142857143,1,0.0,0.017857142857142856,0.06985840845179617,8.116992513220952e-05,0.0032251654638617636,0.6666666666666666
4,2.232142857142857,2,0.0004811804961505561,0.023809523809523808,0.0901722114571109,0.0012946917036106003,0.007445824457408441,0.6666666666666666
5,0.5357142857142857,1,0.00040692424674460616,0.017857142857142856,0.07939317724895274,0.0006034795788811913,0.00786476050878911,0.3333333333333333
6,1.9642857142857144,1,0.0,0.011904761904761904,0.08319693803036791,0.0006303310884215153,0.0032483344976969595,1.0
7,2.625,10,0.047797262617621905,0.06547619047619047,0.09763401036228603,0.002609231124182794,0.017257362618031145,0.14545454545454545
8,2.3214285714285716,1,0.0,0.005952380952380952,0.08578104716572908,0.0003830479378018047,0.0023681196951590377,0.0
9,2.5892857142857144,2,0.04790419161676647,0.02976190476190476,0.08278142929921412,0.00040691591009781616,0.005923953796531168,0.2
10,2.5,1,0.0051325919589392645,0.023809523809523808,0.08758272732895651,0.00045356789079246593,0.004695876534451045,0.16666666666666666
11,4.285714285714286,1,0.02437981180496151,0.023809523809523808,0.0954242199609138,0.0012031141138424653,0.005245197676286877,0.16666666666666666
12,3.928571428571429,2,0.05938123752495011,0.03571428571428571,0.09541319728545987,0.0021984320671865052,0.006996105116923857,0.26666666666666666
13,1.9642857142857144,1,0.009436484174508127,0.023809523809523808,0.09786150109590665,0.001615675253056506,0.0051132677401055865,0.3333333333333333
14,3.3928571428571432,2,0.029868833761049332,0.03571428571428571,0.07780097643679061,0.00021773989632155175,0.00781263548273337,0.26666666666666666
15,4.2857142857142865,2,0.0037246934702024523,0.02976190476190476,0.09135147091351473,0.0014003318297115986,0.0059277357002641305,0.3
16,2.6339285714285716,4,0.020545219085638243,0.07142857142857142,0.09249029561063,0.003009912413010024,0.024247755738395767,0.18181818181818182
17,10.0,1,0.006751378195988976,0.023809523809523808,0.09202744482717001,0.0016875553446178257,0.007011069635148091,0.5
18,5.357142857142858,1,0.00042771599657827206,0.023809523809523808,0.08454957221942627,0.0008759026398236708,0.006996053381614474,0.16666666666666666
19,1.0714285714285714,1,0.0,0.017857142857142856,0.081804451707148,0.000856948631853196,0.006791057186123912,0.6666666666666666
20,1.25,2,0.016128457370972342,0.02976190476190476,0.10072454195331636,0.0018972896323482726,0.01238833200584735,0.3
21,2.142857142857143,1,0.0,0.017857142857142856,0.09079750105344156,0.001399708252362835,0.0028500784986933165,0.3333333333333333
22,4.464285714285714,1,0.05096948959224409,0.017857142857142856,0.09088491761491278,0.0015536928652672268,0.0027853280672769628,0.6666666666666666
23,2.5,1,0.0005702879954376961,0.023809523809523808,0.0845358714563504,0.0015738028240336666,0.004235411857214405,0.5
24,3.2142857142857144,1,0.0,0.023809523809523808,0.08421410365335598,0.0016389669454071423,0.0032978436087179983,0.3333333333333333
25,3.869047619047619,3,0.0014970059880239522,0.047619047619047616,0.08339012140026754,0.0006580471920601081,0.00745397980357303,0.21428571428571427
26,5.089285714285714,2,0.04574779013401768,0.047619047619047616,0.10913655281759925,0.005884606671497053,0.006904694654015497,0.17857142857142858
27,3.392857142857143,1,0.032506415739948676,0.023809523809523808,0.10813287514318445,0.004861717383451957,0.004334138227907816,0.3333333333333333
28,8.607142857142858,1,0.02872825777017394,0.023809523809523808,0.10073682605823465,0.003210971713673025,0.0034901166823750286,0.5
29,3.928571428571429,1,0.035482606216139155,0.023809523809523808,0.10664830376260212,0.0043315364489954844,0.0036173917478049995,0.5
30,5.0,1,0.0019781864841745085,0.023809523809523808,0.09442248154322455,0.00181319825804195,0.003991682412160791,0.3333333333333333
31,6.071428571428571,1,0.0012415644900674841,0.023809523809523808,0.0967609676096761,0.0024216317557512823,0.004507581289910925,0.3333333333333333
32,4.285714285714286,2,0.032821262237429906,0.03571428571428571,0.10193231250192819,0.0042568008228118116,0.008579006307760562,0.26666666666666666
33,5.892857142857143,1,0.011753279155973767,0.023809523809523808,0.09851217985032353,0.002699795702381332,0.009113843306253977,0.16666666666666666
34,0.17857142857142858,1,0.0006415739948674081,0.023809523809523808,0.09167167630057806,0.0021251276869404196,0.019168977032731953,0.3333333333333333
35,2.946428571428571,2,0.0010514684915882522,0.02976190476190476,0.09249892681834303,0.0022650653559060257,0.016308027233437293,0.5
36,2.142857142857143,1,0.014114627887082978,0.017857142857142856,0.0812805458064093,0.0004975460960143047,0.004312148675854575,0.6666666666666666
37,0.17857142857142858,1,0.00071285999429712,0.023809523809523808,0.09107280679187035,0.002144645044973022,0.021356448347975718,0.5
38,0.5357142857142857,1,0.0036534074707727407,0.023809523809523808,0.09784121531582222,0.0023269347316069327,0.015481001351415802,0.3333333333333333
39,4.1396103896103895,11,0.0766235386370117,0.08928571428571427,0.09040578626218773,0.0026763492369157853,0.021737384626711657,0.14285714285714285
40,2.678571428571429,1,0.00021385799828913603,0.017857142857142856,0.0820326077960771,0.0006266763555315832,0.004672552901046939,0.6666666666666666
41,3.75,1,0.00019603649843170803,0.017857142857142856,0.08414118605796168,0.0006937626268290874,0.0034882783437787867,0.6666666666666666
42,2.678571428571429,2,0.0,0.011904761904761904,0.08022662889518413,0.0004973631183548141,0.0035172895421214335,1.0
43,8.214285714285715,1,0.0,0.005952380952380952,0.08015072735653003,0.0003929212278046803,0.0015239740417738116,0.0
44,1.4285714285714286,1,0.028318363273453096,0.017857142857142856,0.11063981783274549,0.004113472356479442,0.007760151771487698,0.3333333333333333
45,4.535714285714286,6,0.06217030225263759,0.05357142857142857,0.11915753029428743,0.017233351477057797,0.009812060256086691,0.25
46,3.75,1,0.0,0.017857142857142856,0.10198685036372422,0.006317051159710408,0.003169767500415823,1.0
47,1.4285714285714286,1,0.0006148417450812661,0.023809523809523808,0.11215460861300315,0.011175606238198162,0.004104936963528077,0.8333333333333334
48,4.516233766233766,11,0.3594263853245889,0.10119047619047619,0.13547090901635986,0.05504083695806752,0.013664030346540273,0.21323529411764705
49,4.55,5,0.09094014352247887,0.06547619047619047,0.12943834310563224,0.03062117140223856,0.008219642552992483,0.34545454545454546
50,3.2142857142857144,1,0.00024950099800399205,0.023809523809523808,0.11745745840640853,0.015748233488212613,0.0033184741697785598,0.3333333333333333
51,4.321428571428571,1,0.0,0.023809523809523808,0.09532602423542992,0.007212537490576008,0.0023916043723162,0.6666666666666666
52,3.8928571428571432,5,0.021513520577891833,0.07142857142857142,0.12051356871899621,0.027952634016328182,0.009541045638273763,0.25757575757575757
53,3.0357142857142856,1,0.0009980039920159682,0.023809523809523808,0.11218761318362917,0.01397215351799091,0.0032343569260109674,0.6666666666666666
54,5.0,1,0.0009326584925387322,0.023809523809523808,0.12931169441110474,0.022342501883645137,0.0037749467300952837,0.6666666666666666
55,4.107142857142858,1,0.0,0.017857142857142856,0.10957571469632316,0.009643687426215927,0.0020008141881738386,0.3333333333333333
56,5.275,10,0.25503457370972343,0.09523809523809523,0.12088984291150356,0.020348363518573463,0.011563484572562855,0.175
57,4.482142857142858,4,0.0,0.05357142857142857,0.1170856170856171,0.028591925615566182,0.004931085977925501,0.3888888888888889
58,4.761904761904762,6,0.018322878053416976,0.05952380952380952,0.13112672143509146,0.04277036089559318,0.006632744344386792,0.35555555555555557
59,4.678571428571429,2,0.0049009124607927,0.03571428571428571,0.11598544331199752,0.01869303401388079,0.0038531880108299684,0.4
