Node,weight,num_nodes,Betweenness,Degree,Closeness,Eigenvector,PageRank,Clustering
0,2.142857142857143,1,0.0,0.022988505747126436,0.10592238891066533,0.004901348263092898,0.009034149431337832,1.0
1,2.2108843537414966,3,0.04374944310790341,0.06896551724137931,0.12579969387683126,0.01841512360060066,0.021962722870175533,0.3333333333333333
2,1.2500000000000002,4,0.0032076984763432237,0.08045977011494253,0.11729077062699754,0.01586614772207877,0.020686752718129073,0.2857142857142857
3,3.122448979591837,1,0.0002673082063619353,0.04597701149425287,0.10861026362423953,0.010775137418237482,0.009914596173221477,0.6666666666666666
4,3.2653061224489797,1,0.0037423148890670943,0.034482758620689655,0.11508085018518754,0.007343846488513765,0.008653458909067017,0.3333333333333333
5,3.326530612244898,1,0.0029403902699812884,0.04597701149425287,0.11076332606711008,0.012085717121529112,0.009480747418478265,0.6666666666666666
6,5.204081632653061,1,0.0,0.034482758620689655,0.10410282452238781,0.004290335175626432,0.007787482786323712,0.6666666666666666
7,5.030612244897959,4,0.0590751136059877,0.08045977011494253,0.12350167231028106,0.01759847928018622,0.015891522179957724,0.19047619047619047
8,3.8775510204081636,1,0.0,0.022988505747126436,0.10581680965433765,0.0038841028344555003,0.006557933656581123,1.0
9,1.989795918367347,2,0.0021384656508954825,0.04597701149425287,0.11544959639571982,0.006744301532647808,0.009029783690005224,0.3333333333333333
10,3.673469387755102,1,0.0,0.022988505747126436,0.10680472132561217,0.0028539911735298226,0.005624661728330594,1.0
11,1.0204081632653061,1,0.0016038492381716118,0.034482758620689655,0.1353412557483039,0.020047696193103943,0.014853930067400477,0.6666666666666666
12,2.3469387755102042,1,0.0,0.022988505747126436,0.11151196088484289,0.005683482641824461,0.009384924594875912,1.0
13,1.4285714285714286,1,0.004989753185422793,0.04597701149425287,0.13482967689260494,0.02243690357171835,0.01661046315980639,0.5
14,3.979591836734694,2,0.0010692328254477412,0.04597701149425287,0.11473659154802732,0.01196651671742185,0.008681130251516879,0.5
